Date,Terminal,Product,TGP_Excluding_GST,GST,TGP_Including_GST
24/03/2026,Brisbane,E10,209.87,20.99,230.85
24/03/2026,Brisbane,P95,228.85,22.89,251.74
24/03/2026,Brisbane,P98,243.60,24.36,267.96
24/03/2026,Brisbane,DIS,261.16,26.12,287.28
24/03/2026,Brisbane,PREDIS,262.98,26.30,289.28
24/03/2026,Brisbane,B5,264.81,26.48,291.29
24/03/2026,Gladstone,ULP,215.95,21.59,237.54
24/03/2026,Gladstone,E10,211.09,21.11,232.20
24/03/2026,Gladstone,P95,226.61,22.66,249.27
24/03/2026,Gladstone,P98,,,
24/03/2026,Gladstone,DIS,260.89,26.09,286.98
24/03/2026,Gladstone,PREDIS,262.71,26.27,288.98
24/03/2026,Mackay,ULP,216.08,21.61,237.68
24/03/2026,Mackay,E10,213.71,21.37,235.08
24/03/2026,Mackay,P95,229.21,22.92,252.13
24/03/2026,Mackay,P98,232.10,23.21,255.31
24/03/2026,Mackay,DIS,267.43,26.74,294.18
24/03/2026,Mackay,PREDIS,269.25,26.93,296.18
24/03/2026,Townsville,ULP,216.02,21.60,237.63
24/03/2026,Townsville,E10,217.02,21.70,238.73
24/03/2026,Townsville,P95,237.55,23.75,261.30
24/03/2026,Townsville,P98,254.82,25.48,280.30
24/03/2026,Townsville,DIS,263.77,26.38,290.15
24/03/2026,Townsville,PREDIS,265.59,26.56,292.15
24/03/2026,Cairns,ULP,214.87,21.49,236.36
24/03/2026,Cairns,E10,226.31,22.63,248.94
24/03/2026,Cairns,P95,232.52,23.25,255.78
24/03/2026,Cairns,P98,,,
24/03/2026,Cairns,DIS,261.81,26.18,288.00
24/03/2026,Cairns,PREDIS,263.63,26.36,290.00
24/03/2026,Port Alma,DIS,260.89,26.09,286.98
24/03/2026,Adelaide,ULP,206.97,20.70,227.66
24/03/2026,Adelaide,E10,203.16,20.32,223.47
24/03/2026,Adelaide,P95,224.52,22.45,246.98
24/03/2026,Adelaide,P98,239.77,23.98,263.75
24/03/2026,Adelaide,DIS,256.99,25.70,282.68
24/03/2026,Adelaide,PREDIS,258.80,25.88,284.68
24/03/2026,Perth,ULP,209.34,20.93,230.27
24/03/2026,Perth,E10,,,
24/03/2026,Perth,P95,228.59,22.86,251.44
24/03/2026,Perth,P98,244.21,24.42,268.64
24/03/2026,Perth,DIS,258.23,25.82,284.05
24/03/2026,Perth,PREDIS,260.05,26.00,286.05
24/03/2026,Darwin,ULP,213.73,21.37,235.11
24/03/2026,Darwin,E10,,,
24/03/2026,Darwin,P95,233.76,23.38,257.14
24/03/2026,Darwin,P98,,,
24/03/2026,Darwin,DIS,260.87,26.09,286.95
24/03/2026,Darwin,PREDIS,262.68,26.27,288.95
24/03/2026,Bell Bay,ULP,215.19,21.52,236.71
24/03/2026,Bell Bay,E10,215.25,21.52,236.77
24/03/2026,Bell Bay,P95,233.03,23.30,256.34
24/03/2026,Bell Bay,P98,237.00,23.70,260.70
24/03/2026,Bell Bay,DIS,265.52,26.55,292.07
24/03/2026,Bell Bay,PREDIS,267.34,26.73,294.07
24/03/2026,Broome,ULP,235.85,23.58,259.43
24/03/2026,Broome,E10,,,
24/03/2026,Broome,P95,254.20,25.42,279.62
24/03/2026,Broome,P98,,,
24/03/2026,Broome,DIS,267.42,26.74,294.16
25/03/2026,Hastings,ULP,214.56,21.46,236.01
25/03/2026,Hastings,E10,214.35,21.44,235.79
25/03/2026,Hastings,P95,237.93,23.79,261.72
25/03/2026,Hastings,P98,245.56,24.56,270.12
25/03/2026,Hastings,DIS,269.09,26.91,295.99
25/03/2026,Hastings,PREDIS,270.90,27.09,297.99
25/03/2026,Yarraville,ULP,214.56,21.46,236.01
25/03/2026,Yarraville,E10,214.35,21.44,235.79
25/03/2026,Yarraville,P95,237.93,23.79,261.72
25/03/2026,Yarraville,P98,245.56,24.56,270.12
25/03/2026,Yarraville,DIS,269.09,26.91,295.99
25/03/2026,Yarraville,PREDIS,270.90,27.09,297.99
25/03/2026,Sydney,ULP,213.83,21.38,235.21
25/03/2026,Sydney,E10,213.54,21.35,234.89
25/03/2026,Sydney,P95,238.54,23.85,262.39
25/03/2026,Sydney,P98,247.10,24.71,271.80
25/03/2026,Sydney,DIS,269.30,26.93,296.23
25/03/2026,Sydney,PREDIS,271.12,27.11,298.23
25/03/2026,Brisbane,ULP,216.88,21.69,238.57
25/03/2026,Brisbane,E10,214.74,21.47,236.21
25/03/2026,Brisbane,P95,233.76,23.38,257.14
25/03/2026,Brisbane,P98,248.53,24.85,273.38
25/03/2026,Brisbane,DIS,268.89,26.89,295.78
25/03/2026,Brisbane,PREDIS,270.71,27.07,297.78
25/03/2026,Brisbane,B5,272.54,27.25,299.79
25/03/2026,Gladstone,ULP,220.92,22.09,243.01
25/03/2026,Gladstone,E10,215.66,21.57,237.23
25/03/2026,Gladstone,P95,231.62,23.16,254.79
25/03/2026,Gladstone,P98,,,
25/03/2026,Gladstone,DIS,268.70,26.87,295.57
25/03/2026,Gladstone,PREDIS,270.52,27.05,297.57
25/03/2026,Mackay,ULP,221.04,22.10,243.14
25/03/2026,Mackay,E10,218.28,21.83,240.11
25/03/2026,Mackay,P95,234.22,23.42,257.64
25/03/2026,Mackay,P98,237.11,23.71,260.82
25/03/2026,Mackay,DIS,275.26,27.53,302.78
25/03/2026,Mackay,PREDIS,277.07,27.71,304.78
25/03/2026,Townsville,ULP,220.99,22.10,243.08
25/03/2026,Townsville,E10,221.99,22.20,244.18
25/03/2026,Townsville,P95,242.55,24.26,266.81
25/03/2026,Townsville,P98,259.83,25.98,285.81
25/03/2026,Townsville,DIS,271.59,27.16,298.75
25/03/2026,Townsville,PREDIS,273.41,27.34,300.75
25/03/2026,Cairns,ULP,219.82,21.98,241.80
25/03/2026,Cairns,E10,231.25,23.12,254.37
25/03/2026,Cairns,P95,237.51,23.75,261.26
25/03/2026,Cairns,P98,,,
25/03/2026,Cairns,DIS,269.63,26.96,296.59
25/03/2026,Cairns,PREDIS,271.45,27.14,298.59
25/03/2026,Port Alma,DIS,268.70,26.87,295.57
25/03/2026,Adelaide,ULP,211.90,21.19,233.09
25/03/2026,Adelaide,E10,208.05,20.81,228.86
25/03/2026,Adelaide,P95,229.50,22.95,252.45
25/03/2026,Adelaide,P98,244.77,24.48,269.24
25/03/2026,Adelaide,DIS,264.77,26.48,291.25
25/03/2026,Adelaide,PREDIS,266.59,26.66,293.25
25/03/2026,Perth,ULP,214.28,21.43,235.70
25/03/2026,Perth,E10,,,
25/03/2026,Perth,P95,233.56,23.36,256.92
25/03/2026,Perth,P98,249.21,24.92,274.13
25/03/2026,Perth,DIS,265.98,26.60,292.58
25/03/2026,Perth,PREDIS,267.80,26.78,294.58
25/03/2026,Darwin,ULP,218.63,21.86,240.50
25/03/2026,Darwin,E10,,,
25/03/2026,Darwin,P95,238.71,23.87,262.58
25/03/2026,Darwin,P98,,,
25/03/2026,Darwin,DIS,268.62,26.86,295.48
25/03/2026,Darwin,PREDIS,270.44,27.04,297.48
25/03/2026,Bell Bay,ULP,220.21,22.02,242.23
25/03/2026,Bell Bay,E10,220.23,22.02,242.25
25/03/2026,Bell Bay,P95,238.10,23.81,261.91
25/03/2026,Bell Bay,P98,242.08,24.21,266.28
25/03/2026,Bell Bay,DIS,273.42,27.34,300.76
25/03/2026,Bell Bay,PREDIS,275.24,27.52,302.76
25/03/2026,Broome,ULP,241.48,24.15,265.63
25/03/2026,Broome,E10,,,
25/03/2026,Broome,P95,259.88,25.99,285.87
25/03/2026,Broome,P98,,,
25/03/2026,Broome,DIS,275.35,27.53,302.88
26/03/2026,Hastings,ULP,215.61,21.56,237.17
26/03/2026,Hastings,E10,215.40,21.54,236.94
26/03/2026,Hastings,P95,237.75,23.77,261.52
